Cell type,Sub-classification,Panel
CD4,Treg,"CD8A-, CD8B-, FOXP3, RORC- , CCR6-,CXCR6-"
,Treg.IL17,"CD8A-, CD8B-, FOXP3, RORC , CCR6, CXCR6"
,Tcm-Tn,"CD8A-, CD8B- , FOXP3- , RORC- , CCR6-,CXCR6-, GZMB-, IFNG-, GNLY-, NKG7-, CXCL13-, IL21-, IL7R, TCF7, CCR7"
,Tfh,"CD8A-, CD8B- , FOXP3- , RORC- , CCR6-,CXCR6-, GZMB-, IFNG-, GNLY-, NKG7-, CXCL13, IL21"
,Th1,"CD8A-, CD8B- , FOXP3- , RORC- , CCR6-,CXCR6-, GZMB, IFNG, GNLY, NKG7"
,Th17,"CD8A, CD8B, FOXP3-, RORC , CCR6,CXCR6, "
,other,"CD8A-, CD8B- ,CD4, CD40LG, FOXP3- , RORC- , CCR6-,CXCR6-, GZMB-, IFNγ-, GNLY-, NKG7-, CXCL13-, IL21-, IL7R-, TCF7-, CCR7-"
CD8,Tcm-Tem,"CD8A, CD8B,CD4-, CD40LG-, ITGAE-,GZMK"
,Tcm-Tn,"CD8A, CD8B,CD4-, CD40LG-, ITGAE-,GZMK-, GZMB-, PRF1-, GNLY-, SELL"
,Teff,"CD8A, CD8B,CD4-, CD40LG-, ITGAE-,GZMK-, GZMB, PRF1, GNLY,"
,Teff.TS,"CD8A, CD8B,CD4-, CD40LG-, ITGAE, ENTPD1"
,Trm.Teff,"CD8A, CD8B,CD4-, CD40LG-, ITGAE, ENTPD1-, CD160-"
,IEL,"CD8A, CD8B,CD4-, CD40LG-, ITGAE, ENTPD1-, CD160"
,other,"CD8A, CD8B,CD4-, CD40LG-, ITGAE-,GZMK-, GZMB-, PRF1-, GNLY-, SELL-"
DN,DN,"CD8A-, CD8B- ,CD4-, CD40LG-, FOXP3- , RORC- , CCR6-,CXCR6-, GZMB-, IFNγ-, GNLY-, NKG7-, CXCL13-, IL21-, IL7R-, TCF7-, CCR7-"
DP,DP,"CD8A, CD8B,CD4, CD40LG"